timestamp,x,y,z
2025/06/26 14:24:32.212,-0.761261,0.756882,0.04599
2025/06/26 14:24:32.312,-1.085831,0.620865,-0.027969
2025/06/26 14:24:32.412,-0.879074,0.488831,0.143326
2025/06/26 14:24:32.512,-0.725586,0.320404,0.052673
2025/06/26 14:24:32.612,-0.795731,0.449844,-0.069626
2025/06/26 14:24:32.712,-1.256149,0.662125,0.060776
2025/06/26 14:24:32.812,-1.011429,0.422699,-0.060226
2025/06/26 14:24:32.912,-0.769257,0.678955,-0.038055
2025/06/26 14:24:33.012,-0.740265,0.452377,-0.01033
2025/06/26 14:24:33.112,-0.623474,0.631287,-0.065521
2025/06/26 14:24:33.212,-0.66333,0.749649,-0.016205
2025/06/26 14:24:33.312,-0.824951,0.948669,0.001801
2025/06/26 14:24:33.412,-1.281891,0.598145,0.076935
2025/06/26 14:24:33.512,-0.770111,0.416733,0.046738
2025/06/26 14:24:33.612,-0.756622,0.449646,0.074509
2025/06/26 14:24:33.712,-0.934784,0.420197,0.034348
2025/06/26 14:24:33.812,-1.417816,0.837112,0.109604
2025/06/26 14:24:33.912,-0.993835,0.490265,-0.108994
2025/06/26 14:24:34.011,-0.733475,0.670319,-0.091415
2025/06/26 14:24:34.111,-0.707047,0.550415,-0.048492
2025/06/26 14:24:34.211,-0.583008,0.501328,-0.097824
2025/06/26 14:24:34.311,-0.697464,0.686249,0.080215
2025/06/26 14:24:34.411,-0.794525,0.726334,-0.186646
2025/06/26 14:24:34.511,-1.07933,0.499939,0.21463
2025/06/26 14:24:34.611,-0.784973,0.469986,0.032639
2025/06/26 14:24:34.713,-0.833298,0.432114,-0.026611
2025/06/26 14:24:34.811,-0.900742,0.381393,0.003006
2025/06/26 14:24:34.911,-1.38591,0.968399,0.059174
2025/06/26 14:24:35.011,-1.076233,0.38501,-0.124298
2025/06/26 14:24:35.112,-0.974136,0.696716,-0.105225
2025/06/26 14:24:35.211,-0.960312,0.437439,-0.173676
2025/06/26 14:24:35.311,-0.68898,0.333664,-0.341675
2025/06/26 14:24:35.411,-0.512405,0.255661,-0.653549
2025/06/26 14:24:35.511,-0.425232,0.128311,-1.050964
2025/06/26 14:24:35.611,-0.218613,-0.116455,-0.430679
2025/06/26 14:24:35.711,-0.259277,0.012726,-1.193054
2025/06/26 14:24:35.811,0.183289,-0.249252,-0.728668
2025/06/26 14:24:35.911,0.206192,-0.374344,-0.881683
2025/06/26 14:24:36.011,0.436676,-0.435852,-0.474182
