label,source_file,x_mean,x_std,x_var,x_min,x_max,x_median,x_range,x_iqr,x_skew,x_kurt,y_mean,y_std,y_var,y_min,y_max,y_median,y_range,y_iqr,y_skew,y_kurt,z_mean,z_std,z_var,z_min,z_max,z_median,z_range,z_iqr,z_skew,z_kurt,magnitude_mean,magnitude_std,magnitude_var,magnitude_min,magnitude_max,magnitude_median,magnitude_range,magnitude_iqr,magnitude_skew,magnitude_kurt,corr_xy,corr_xz,corr_yz
aruki,aruki2_window_0.csv,-1.0103042,0.29723558192555316,0.08834899116262221,-1.515839,-0.636871,-0.998039,0.878968,0.45197350000000003,-0.28464728629217007,-1.1224718141716123,0.41504209999999997,0.19470113992843835,0.037908533889433334,0.088165,0.734344,0.4430545,0.6461790000000001,0.25939200000000007,0.010791601318872628,-0.4504832256520781,-0.1464507,0.17664614218453167,0.031203859548677777,-0.359741,0.162323,-0.1824035,0.522064,0.231136,0.6466262193835551,-0.77623268796482,1.1257337081520813,0.3142207173864413,0.09873465923484981,0.7704189457120068,1.6869264962107862,1.0420110226325068,0.9165075504987794,0.4750566709191961,0.5361225950651431,-0.910467993723302,-0.7302498813026833,-0.3998925582970678,0.22879868427009467
aruki,aruki2_window_1.csv,-0.8909682,0.2943800452766231,0.08665961105706665,-1.536819,-0.556198,-0.7769165,0.980621,0.29069500000000004,-1.2921719689621098,1.4714895783380344,0.5133652000000001,0.1650807258416318,0.027251646044400002,0.299133,0.785416,0.50058,0.486283,0.2586327499999999,0.3712819650583431,-1.0226512243969927,-0.0631332,0.10498950783218503,0.011022796754844442,-0.193542,0.19809,-0.07562250000000001,0.391632,0.08261924999999999,1.7997938980668309,4.631668047264379,1.0476094667701887,0.2911834407087368,0.08478779614297845,0.7407157642908648,1.6883646679381796,0.9597851698990105,0.9476489036473148,0.3403709912613403,1.2637926889976243,1.4360889847283795,-0.29160752796810496,-0.31305028495766435,-0.07459730912799527
aruki,aruki2_window_10.csv,-0.9548857999999999,0.367887539979513,0.1353412420721778,-1.512604,-0.417908,-0.8480605,1.0946960000000001,0.5186159999999999,-0.3080263725434845,-1.148841694951395,0.5531859000000001,0.169468571998501,0.02871959689521111,0.278091,0.756729,0.566452,0.478638,0.19958874999999998,-0.523396457768828,-0.74831173221687,-0.0595032,0.08587556843324727,0.007374613253733334,-0.183365,0.093018,-0.055565,0.276383,0.07684275,0.5630140509116438,-0.14648931105116336,1.1253638172526486,0.3483458492619824,0.12134483069805177,0.6987647630018274,1.6924880768433792,0.986235655729367,0.9937233138415518,0.47543618764435247,0.6106568902231458,-1.0756543452003244,-0.33875618052418965,0.2521875657298498,-0.3399269690346743
aruki,aruki2_window_11.csv,-0.8822050999999999,0.2137513294058464,0.045689630822766655,-1.235352,-0.62738,-0.8464585,0.607972,0.30166625,-0.47877436335496526,-0.9943179130460105,0.5253128,0.19594069226613786,0.038392754885733335,0.279343,0.837646,0.4615785,0.558303,0.3332175000000001,0.5267265811070526,-1.3108432969399733,-0.045367500000000005,0.1005390548153635,0.010108101543166666,-0.222519,0.098587,-0.0188295,0.321106,0.131916,-0.4312821852818846,-0.7176477031293111,1.054643030932523,0.17887643841509177,0.03199678022006812,0.7979990646924343,1.3079435599126592,1.0566605869438501,0.5099444952202249,0.23334977058089457,0.031682727309509086,-1.1130143705351965,0.3755310373172185,-0.13070139778301432,-0.5871291216994418
aruki,aruki2_window_12.csv,-0.9257612999999999,0.3484547895099959,0.12142074033245555,-1.535294,-0.611618,-0.742111,0.9236759999999999,0.36779375000000003,-1.0859627904604496,-0.277013814614798,0.4999755,0.13350375034286907,0.017823251355611112,0.306351,0.710785,0.5332030000000001,0.404434,0.17775324999999997,-0.19619362284256353,-0.8508656220160766,-0.0261032,0.09495417362402889,0.009016295088622223,-0.19902,0.11441,-0.025032000000000002,0.31343,0.08383575,-0.2984463871387853,0.01754195823404814,1.0695275085607652,0.3286944355392216,0.10804003195444752,0.7901794911499538,1.650083085714474,0.9365039543365742,0.8599035945645201,0.36943659944093643,1.1709009786720932,-0.07392386762856606,-0.2844708865378787,-0.5290573670913603,0.0489861379021746
aruki,aruki2_window_13.csv,-0.9511931,0.31593851100788234,0.09981714273787778,-1.49823,-0.518753,-0.8536144999999999,0.9794769999999999,0.4528430000000001,-0.4830507427065467,-0.830272724048414,0.5217240000000001,0.21314502723419718,0.04543080263466666,0.302948,0.972092,0.45338449999999997,0.669144,0.26827625,1.063506033734455,0.793482067270534,-0.0324019,0.10728095086728533,0.011509202418988888,-0.248474,0.169922,-0.018210999999999998,0.418396,0.07476825,-0.2253222597527773,2.1277639985230996,1.1016123553096897,0.3424515868924443,0.11727308936515334,0.7653349624968141,1.7860582919616592,1.0137138672962693,1.020723329464845,0.4996276279581726,0.9426824889122383,0.008496790594256787,-0.5335932737645567,-0.02932324696337786,-0.2885842344325086
aruki,aruki2_window_14.csv,-0.8948701,0.23597099451766432,0.05568231025365557,-1.301056,-0.499802,-0.8844835,0.8012539999999999,0.27862975,-0.1727422135125654,-0.1336301682833092,0.45779880000000006,0.13784335561127994,0.019000790686177785,0.298965,0.666794,0.400162,0.367829,0.23313150000000005,0.6559245406766976,-1.3535477767651,-0.024241699999999998,0.10131545457634344,0.010264821336011112,-0.122253,0.166656,-0.054581000000000005,0.28890899999999997,0.0860555,1.2145174509788141,0.33575168756576357,1.0218527195155258,0.21916520111379162,0.04803338537924873,0.6924565765136469,1.3654133588778161,1.0020783270372216,0.6729567823641692,0.26484247584318754,0.2795453887590298,-0.649806721375692,0.0030992162528021092,-0.2768630749175926,-0.6223303025528226
aruki,aruki2_window_15.csv,-0.9583878,0.2637371497835592,0.06955728417595555,-1.364273,-0.561722,-0.945862,0.802551,0.2939417500000001,-0.27912738693284866,-0.5593012179569681,0.4763001,0.1693593061343906,0.02868257457432223,0.251984,0.81369,0.45654300000000003,0.561706,0.19469100000000006,0.7563191277026661,0.34988576708068475,-0.001080300000000001,0.09609807519756978,0.009234840056677778,-0.095474,0.180527,-0.0294725,0.276001,0.10536975,1.0881600499750763,0.04686025472297928,1.0873892184079466,0.25751384884734346,0.06631338234817247,0.7821445968291285,1.4743090830344905,1.0411571798015928,0.692164486205362,0.39071329912286834,0.4803792531559397,-1.1856360489655424,-0.1549015458480447,-0.796761313401909,0.24645718373452488
aruki,aruki2_window_16.csv,-0.9352264,0.3057052100487221,0.0934556754509333,-1.509979,-0.608719,-0.83049,0.90126,0.3843722500000001,-0.9904018831306676,-0.29966490042971206,0.5260712,0.21143576604349604,0.04470508316239999,0.311584,0.898712,0.4611055,0.5871279999999999,0.28578549999999997,0.891537188091972,-0.5926725562470141,-0.0258286,0.09540390775853996,0.009101905615600002,-0.206238,0.09259,0.005927999999999999,0.298828,0.130077,-0.6365690032725946,-0.35772167081210915,1.0973117215656374,0.2990908944433988,0.08945536313895233,0.7793814777495036,1.7283275622690855,0.9756369456722718,0.9489460845195818,0.3313327854348762,1.0856950809131536,0.768331616231885,-0.08957219766315547,-0.7140462329652564,-0.026505447877456404
aruki,aruki2_window_2.csv,-0.981593909090909,0.296278993834681,0.08778124218769093,-1.443985,-0.500504,-0.944702,0.9434810000000001,0.4753259999999999,-0.05129322874228888,-1.0626921084460026,0.493902090909091,0.12187460820323039,0.014853420124690911,0.336945,0.739502,0.531189,0.402557,0.165802,0.4724130829651902,-0.011793635985204887,-0.041487363636363635,0.1470399621655778,0.021620750473654547,-0.189072,0.271591,-0.102585,0.46066300000000004,0.196762,1.0563618707354716,0.428587578822782,1.1270782038399474,0.2387999046882338,0.05702539447910955,0.7507113280009833,1.4877498116128263,1.0970141489702856,0.737038483611843,0.4101974478118564,0.0885445232044295,-1.2288906759993807,0.4417140492512579,0.2950014459175428,-0.0629337456798045
